CERT,STNAME,DOCKET,ACTIVE,ADDRESS,ASSET,CITY,COUNTY,DEP,INACTIVE,NAME,NEWCERT,ROA,ROAQ,ROE,ROEQ,ZIP
18321,Wisconsin,14360,0,2704 Lathrop Avenue,327444,Racine,Racine,272782,1,Bank of Elmwood,18922,-1.715169282,-4.13,-54.87,-153.44,53405
18323,Florida,0,0,7700 Seminole Boulevard,,Seminole,Pinellas,,1,Community Bank of Pinellas,3575,,,,,33772
18325,Pennsylvania,0,0,Market And Beaver Streets,954352,York,York,720689,1,The York Bank and Trust Company,4822,0.944723709,1.37,9.4,13.14,17405
18326,Minnesota,0,0,"115 First Street, N.E.",,Medford,Steele,,1,First State Bank of Medford,1935,,,,,55049
18353,Florida,0,0,1770 North 50th Street,,Tampa,Hillsborough,,1,Flagship Bank of Tampa - East,132,,,,,33675
18360,Iowa,0,0,Main Street,5399,Climbing Hill,Woodbury,5315,1,Climbing Hill Savings Bank,8092,-17.25914605,-30.71,-285.26,-744.38,51015
18363,Alaska,0,0,Fifth And E Streets,90791,Anchorage,Anchorage,96858,1,Alaska Statebank,22300,-14.02077219,-35.85,-2504.06,0,99510
18367,Virginia,0,0,10855 Lee Highway,,Fairfax,Fairfax City,,1,Potomac Bank and Trust Company,18271,,,,,22030
18390,Illinois,0,0,6825 West 111th Street,889172,Worth,Cook,832160,1,Founders Bank,33306,-7.9564533,-3.66,-228.11,-139.9,60482
18403,Illinois,0,0,9101 Greenwood Avenue,144804,Niles,Cook,130373,1,First of America Bank-Golf Mill,16262,1.087798937,1.09,17.39,17.39,60648
18438,Florida,0,0,Highway 41,71524,Ruskin,Hillsborough,65037,1,First Ruskin Bank,133,1.379198751,1.13,16.86,13.49,33570
18447,Iowa,0,0,305 Ankeny Boulevard,44242,Ankeny,Polk,40264,1,Hawkeye Bank of Ankeny,1549,0.847638238,0.57,10.64,7.2,50021
18462,Alaska,6780,0,1500 West Benson Boulevard,778973,Anchorage,Anchorage,797169,1,Alliance Bank,16853,-13.37952519,-27.68,-322.19,0,99509
18466,Texas,0,0,8128 Highway 6,70932,Hitchcock,Galveston,62289,1,First Texas Bank - Hitchcock,22420,1.282069226,1.33,11.47,11.78,77563
18475,Texas,9920,0,302 Valley-Hi Drive,122969,San Antonio,Bexar,110594,1,"Norwest Bank Texas, San Antonio, National Association",5511,0.569877029,0.16,7.88,2.24,78227
18477,Kansas,0,0,3433 East Central Street,111990,Wichita,Sedgwick,102545,1,Central Bank & Trust,13899,0.989953574,0.99,14.23,14.23,67201
18478,Kentucky,0,0,230 Frederica Street,2540706,Owensboro,Daviess,1884565,1,Area Bank,9846,0.972052653,1.96,5.95,10.21,42301
18480,Minnesota,0,0,5620 Brooklyn Boulevard,98798,Brooklyn Center,Hennepin,86329,1,Marquette Bank Brookdale,17373,0.160057116,0.22,1.99,2.69,55429
18485,Texas,0,0,120 South Agnes Street,23490,Premont,Jim Wells,19280,1,"Norwest Bank Texas, Premont",5511,0.849004542,0.85,5.16,5.16,78375
18490,Virginia,0,0,8027 Leesburg Pike,,Fairfax County,Fairfax,,1,Suburban National Bank of Virginia,6902,,,,,22101
18492,Iowa,0,0,101 N.E. Hayes,40383,Greenfield,Adair,36198,1,Boatmen's Bank of Greenfield,18064,0.968269485,0.88,11.08,9.42,50849
18499,Florida,0,0,125 Indian Rocks Road,96327,Belleair Bluffs,Pinellas,87303,1,First Bank & Trust Company,3590,1.252954987,1.64,16.31,19.71,33540
18510,Minnesota,0,0,2475 West 7th Street,28619,St. Paul,Ramsey,27461,1,Guaranty State Bank of Saint Paul,21076,-10.86033951,-5.68,-218.26,-166.8,55116
18522,New Jersey,0,0,Marlton Pike And Sawmill Road,,Cherry Hill Township,Camden,,1,New Jersey National Bank - Delaware Valley,6500,,,,,8034
18523,Texas,0,0,9407 Garland Road,94433,Dallas,Dallas,89666,1,"Texas Commerce Bank - Casa Linda, National Association",19135,-3.347350981,-3.35,-72.75,-72.75,75218
18535,Louisiana,0,0,301 Louisiana Avenue,,Ferriday,Concordia,,1,Delta Security Bank & Trust Company,0,,,,,71334
18556,New Mexico,13407,0,241 Washington Avenue,170461,Santa Fe,Santa Fe,128648,1,"Bank of Santa Fe, National Association",2252,0.727206837,0.73,5.73,5.73,87501
18558,Oklahoma,0,0,201 West Main Street,24577,Cyril,Caddo,21152,1,Cyril State Bank,4062,1.390046115,0.2,9.92,1.41,73029
18567,Wisconsin,0,0,777 East Wisconsin Avenue,620874,Milwaukee,Milwaukee,572405,1,Firstar Trust Company,5308,2.12087483,1.93,26.01,27.47,53201
18571,Texas,0,0,1301 South Bowen Road,357997,Arlington,Tarrant,331362,1,"MBank MidCities, National Association",27474,-0.098637055,-1.44,-2.2,-32.09,76013
18580,Kansas,0,0,1400 South Oliver Street,30219,Wichita,Sedgwick,27450,1,City Bank and Trust Company,4767,1.136423757,1.34,13.51,15.4,67218
18594,Iowa,0,0,Main And Grant Streets,9024,Lime Springs,Howard,8250,1,Exchange State Bank,18443,1.035474125,0.94,14.35,13.01,52155
18611,Texas,0,0,Spur 156 And Magnolia Road,27104,Waskom,Harrison,23189,1,First State Bank,3250,0.688528271,0.8,5.02,5.88,75692
18622,New Jersey,0,0,1230 Parkway Avenue,,Ewing Township,Mercer,,1,Independent Bank and Trust Company,18805,,,,,8628
