CERT,Bank_Name,City,ST,Acquiring_Institution,Closing_Date,Updated_Date
32536,Sterling Bank,Lantana,FL,IBERIABANK,2010-07-23,2014-03-21
28136,"Mainstreet Savings Bank, FSB",Hastings,MI,Commercial Bank,2010-07-16,2012-09-13
28864,Olde Cypress Community Bank,Clewiston,FL,"CenterState Bank of Florida, N.A.",2010-07-16,2016-07-11
32280,Turnberry Bank,Aventura,FL,NAFH National Bank,2010-07-16,2016-09-12
25172,Metro Bank of Dade County,Miami,FL,NAFH National Bank,2010-07-16,2016-08-08
35383,First National Bank of the South,Spartanburg,SC,NAFH National Bank,2010-07-16,2014-03-21
32571,Woodlands Bank,Bluffton,SC,Bank of the Ozarks,2010-07-16,2015-09-21
11636,Home National Bank,Blackwell,OK,RCB Bank,2010-07-09,2016-12-12
58072,USA Bank,Port Chester,NY,New Century Bank,2010-07-09,2012-09-14
32456,Ideal Federal Savings Bank,Baltimore,MD,No Acquirer,2010-07-09,2015-05-08
35462,Bay National Bank,Baltimore,MD,"Bay Bank, FSB",2010-07-09,2013-01-15
35279,High Desert State Bank,Albuquerque,NM,First American Bank,2010-06-25,2012-09-14
34152,First National Bank,Savannah,GA,"The Savannah Bank, N.A.",2010-06-25,2014-03-21
26563,Peninsula Bank,Englewood,FL,"Premier American Bank, N.A.",2010-06-25,2014-03-21
57110,Nevada Security Bank,Reno,NV,Umpqua Bank,2010-06-18,2012-08-23
32955,Washington First International Bank,Seattle,WA,East West Bank,2010-06-11,2012-09-14
29341,TierOne Bank,Lincoln,NE,Great Western Bank,2010-06-04,2012-09-14
31813,Arcola Homestead Savings Bank,Arcola,IL,No Acquirer,2010-06-04,2015-05-08
15814,First National Bank,Rosedale,MS,The Jefferson Bank,2010-06-04,2014-03-21
34785,Sun West Bank,Las Vegas,NV,City National Bank,2010-05-28,2012-09-14
57315,"Granite Community Bank, NA",Granite Bay,CA,Tri Counties Bank,2010-05-28,2012-09-14
57814,Bank of Florida - Tampa,Tampa,FL,EverBank,2010-05-28,2016-08-08
35106,Bank of Florida - Southwest,Naples,FL,EverBank,2010-05-28,2016-08-08
57360,Bank of Florida - Southeast,Fort Lauderdale,FL,EverBank,2010-05-28,2016-08-08
57735,Pinehurst Bank,Saint Paul,MN,Coulee Bank,2010-05-21,2012-10-26
18117,Midwest Bank and Trust Company,Elmwood Park,IL,"FirstMerit Bank, N.A.",2010-05-14,2012-08-23
34255,Southwest Community Bank,Springfield,MO,Simmons First National Bank,2010-05-14,2016-02-04
35586,New Liberty Bank,Plymouth,MI,Bank of Ann Arbor,2010-05-14,2012-08-23
35114,Satilla Community Bank,Saint Marys,GA,Ameris Bank,2010-05-14,2014-03-21
35517,1st Pacific Bank of California,San Diego,CA,City National Bank,2010-05-07,2012-12-13
57697,Towne Bank of Arizona,Mesa,AZ,Commerce Bank of Arizona,2010-05-07,2012-08-23
16476,Access Bank,Champlin,MN,PrinsBank,2010-05-07,2015-02-05
14246,The Bank of Bonifay,Bonifay,FL,First Federal Bank of Florida,2010-05-07,2012-11-05
22710,Frontier Bank,Everett,WA,"Union Bank, N.A.",2010-04-30,2013-01-15
17792,BC National Banks,Butler,MO,Community First Bank,2010-04-30,2012-08-23
58362,Champion Bank,Creve Coeur,MO,BankLiberty,2010-04-30,2016-06-06
30005,CF Bancorp,Port Huron,MI,First Michigan Bank,2010-04-30,2016-04-13
31027,Westernbank Puerto Rico,Mayaguez,PR,Banco Popular de Puerto Rico,2010-04-30,2014-03-21
32185,R-G Premier Bank of Puerto Rico,Hato Rey,PR,Scotiabank de Puerto Rico,2010-04-30,2015-08-05
27150,Eurobank,San Juan,PR,Oriental Bank and Trust,2010-04-30,2014-03-21
58429,Wheatland Bank,Naperville,IL,Wheaton Bank & Trust,2010-04-23,2012-08-23
10888,Peotone Bank and Trust Company,Peotone,IL,First Midwest Bank,2010-04-23,2012-08-23
