Cert,Report_Period,Institution_Name,City,State,Class,Total_Assets,Total_Deposits
6646,20230930,1ST NATIONAL BANK,LEBANON,OH,N,308609,254574
6653,20230930,THE PARK NATIONAL BANK,NEWARK,OH,N,9959528,8536433
6659,20230930,PEOPLES STATE BANK,NEW LEXINGTON,OH,NM,212224,201323
6662,20230930,RIVERHILLS BANK,MILFORD,OH,NM,321599,243368
6671,20230930,THE FIRST NATIONAL BANK OF PANDORA,PANDORA,OH,N,251752,229121
6672,20230930,"FIFTH THIRD BANK, NATIONAL ASSOCIATION",CINCINNATI,OH,N,212148000,174031000
6680,20230930,HOME NATIONAL BANK,RACINE,OH,N,87175,76162
6700,20230930,SOMERVILLE BANK,EATON,OH,NM,255814,223318
6706,20230930,THE FIRST NATIONAL BANK OF SYCAMORE,SYCAMORE,OH,N,204259,175135
6725,20230930,THE FIRST NATIONAL BANK OF WAVERLY,WAVERLY,OH,N,227630,169538
6728,20230930,THE NATIONAL BANK OF ADAMS COUNTY OF WEST UNION,WEST UNION,OH,N,113518,101861
6732,20230930,THE CITIZENS NATIONAL BANK OF WOODSFIELD,WOODSFIELD,OH,N,147000,139686
6760,20230930,"CITIZENS BANK OF WEST VIRGINIA, INC.",ELKINS,WV,NM,621713,543808
6762,20230930,THE FAYETTE COUNTY NATIONAL BANK OF FAYETTEVILLE,FAYETTEVILLE,WV,N,145649,139125
6786,20230930,"MOUNTAIN VALLEY BANK, N.A.",ELKINS,WV,N,192735,171384
6787,20230930,THE FIRST NATIONAL BANK OF PETERSTOWN,PETERSTOWN,WV,N,81336,73292
6794,20230930,"FNB BANK, INC.",ROMNEY,WV,NM,262473,218424
6800,20230930,FIRST NEIGHBORHOOD BANK,SPENCER,WV,NM,153137,140355
6803,20230930,MCNB BANK AND TRUST CO.,WELCH,WV,NM,360225,293926
6805,20230930,THE FIRST NATIONAL BANK OF WILLIAMSON,WILLIAMSON,WV,N,112110,101335
6811,20230930,FIRST NATIONAL BANK,ALTAVISTA,VA,N,994547,918276
6813,20230930,THE FARMERS BANK OF APPOMATTOX,APPOMATTOX,VA,SM,316954,285618
6821,20230930,THE NATIONAL BANK OF BLACKSBURG,BLACKSBURG,VA,N,1588658,1469207
6837,20230930,AMERICAN NATIONAL BANK AND TRUST COMPANY,DANVILLE,VA,N,3086195,2573194
6861,20230930,SKYLINE NATIONAL BANK,INDEPENDENCE,VA,N,1016790,908154
6862,20230930,CHESAPEAKE BANK,KILMARNOCK,VA,SM,1378249,1233580
6863,20230930,POWELL VALLEY NATIONAL BANK,JONESVILLE,VA,N,483006,437824
6892,20230930,THE OLD POINT NATIONAL BANK OF PHOEBUS,HAMPTON,VA,N,1438599,1241775
6913,20230930,PIONEER BANK,STANLEY,VA,SM,315812,261861
6917,20230930,FIRST BANK,STRASBURG,VA,SM,1365753,1248594
6947,20230930,"EVANS BANK, NATIONAL ASSOCIATION",ANGOLA,NY,N,2158153,1809990
6954,20230930,CAYUGA LAKE NATIONAL BANK,UNION SPRINGS,NY,N,272060,250201
6959,20230930,BALLSTON SPA NATIONAL BANK,BALLSTON SPA,NY,N,902110,798928
6976,20230930,DIME COMMUNITY BANK,HAUPPAUGE,NY,SM,13635038,10671843
6985,20230930,THE CANANDAIGUA NATIONAL BANK AND TRUST COMPANY,CANANDAIGUA,NY,N,4921721,3659881
6989,20230930,"COMMUNITY BANK, NATIONAL ASSOCIATION",CANTON,NY,N,15152716,13253085
6990,20230930,THE PUTNAM COUNTY NATIONAL BANK OF CARMEL,CARMEL,NY,N,187849,145404
7018,20230930,THE NATIONAL BANK OF COXSACKIE,COXSACKIE,NY,N,558021,455426
